name,food_type_id,id_city,image_path,description,cover_image,gallery,short_description,detailed_description,ingredients,taste_profile,dietary_warnings,average_rating,review_count,source_location,source_classification,source_section
Bún đậu mắm tôm,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,c6ef84fe-e7ac-41b0-b338-1d0775331eb1,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg/120px-B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg,Bún ăn với đậu rán và mắm tôm,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg/120px-B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg/120px-B%C3%BAn_%C4%91%E1%BA%ADu_m%E1%BA%AFm_t%C3%B4m.jpg""]",Bún ăn với đậu rán và mắm tôm,Bún ăn với đậu rán và mắm tôm,,,,,0,Miền Bắc,Bún khô,Dạng sợi ( bún / mì các loại)
Bún mắm,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,35727751-0e3d-4ed9-a2fd-1c41b799bda4,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/B%C3%BAn_m%E1%BA%AFm.jpg/120px-B%C3%BAn_m%E1%BA%AFm.jpg,Bún chan nước dùng làm từ mắm cá linh hay cá sặc,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/B%C3%BAn_m%E1%BA%AFm.jpg/120px-B%C3%BAn_m%E1%BA%AFm.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/B%C3%BAn_m%E1%BA%AFm.jpg/120px-B%C3%BAn_m%E1%BA%AFm.jpg""]",Bún chan nước dùng làm từ mắm cá linh hay cá sặc,Bún chan nước dùng làm từ mắm cá linh hay cá sặc,,,,,0,"Vĩnh Long , Cần Thơ",Bún nước,Dạng sợi ( bún / mì các loại)
Bún mọc,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,97a6dbe2-3e11-4e93-b238-5648a1fc93aa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bun_Moc_Ha_Noi.jpg/120px-Bun_Moc_Ha_Noi.jpg,Bún với mọc chan nước dùng,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bun_Moc_Ha_Noi.jpg/120px-Bun_Moc_Ha_Noi.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Bun_Moc_Ha_Noi.jpg/120px-Bun_Moc_Ha_Noi.jpg""]",Bún với mọc chan nước dùng,Bún với mọc chan nước dùng,,,,,0,Hà Nội,Bún nước,Dạng sợi ( bún / mì các loại)
Bún ốc,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,c6ef84fe-e7ac-41b0-b338-1d0775331eb1,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/B%C3%BAn_%E1%BB%91c.jpg/120px-B%C3%BAn_%E1%BB%91c.jpg,"Bún, ốc với nước dùng có vị chua",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/B%C3%BAn_%E1%BB%91c.jpg/120px-B%C3%BAn_%E1%BB%91c.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/B%C3%BAn_%E1%BB%91c.jpg/120px-B%C3%BAn_%E1%BB%91c.jpg""]","Bún, ốc với nước dùng có vị chua","Bún, ốc với nước dùng có vị chua",,,,,0,Miền Bắc,Bún nước,Dạng sợi ( bún / mì các loại)
Bún riêu cua,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/B%C3%BAn_ri%C3%AAu_cua_n%C6%B0%E1%BB%9Bc.jpg/120px-B%C3%BAn_ri%C3%AAu_cua_n%C6%B0%E1%BB%9Bc.jpg,"Bún và riêu cua được nấu từ gạch cua, thân cua giã, lọc với quả dọc, cà chua, mỡ nước, mẻ ngấu, nước mắm, muối, hành hoa. [ 4 ] [ 5 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/B%C3%BAn_ri%C3%AAu_cua_n%C6%B0%E1%BB%9Bc.jpg/120px-B%C3%BAn_ri%C3%AAu_cua_n%C6%B0%E1%BB%9Bc.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/B%C3%BAn_ri%C3%AAu_cua_n%C6%B0%E1%BB%9Bc.jpg/120px-B%C3%BAn_ri%C3%AAu_cua_n%C6%B0%E1%BB%9Bc.jpg""]","Bún và riêu cua được nấu từ gạch cua, thân cua giã, lọc với quả dọc, cà chua, mỡ nước, mẻ ngấu, nước mắm, muối, hành hoa","Bún và riêu cua được nấu từ gạch cua, thân cua giã, lọc với quả dọc, cà chua, mỡ nước, mẻ ngấu, nước mắm, muối, hành hoa. [ 4 ] [ 5 ]",,,,,0,Khắp cả nước,Bún nước,Dạng sợi ( bún / mì các loại)
Bún thịt nướng,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,6fc8742d-40d6-43f9-9fd1-f497b4f62ddc,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Bun_thit_nuong.jpg/120px-Bun_thit_nuong.jpg,Bún ăn với thịt nướng cùng nước mắm và rau sống kiểu Huế. [ 1 ] [ 4 ] [ 6 ],https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Bun_thit_nuong.jpg/120px-Bun_thit_nuong.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Bun_thit_nuong.jpg/120px-Bun_thit_nuong.jpg""]",Bún ăn với thịt nướng cùng nước mắm và rau sống kiểu Huế. [ 1 ] [ 4 ] [ 6 ],Bún ăn với thịt nướng cùng nước mắm và rau sống kiểu Huế. [ 1 ] [ 4 ] [ 6 ],,,,,0,Huế,Bún khô,Dạng sợi ( bún / mì các loại)
Bún thang,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,97a6dbe2-3e11-4e93-b238-5648a1fc93aa,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/B%C3%BAn_thang.JPG/120px-B%C3%BAn_thang.JPG,"Bún ăn với nước dùng và cần đến 20 nguyên liệu: rau răm, mùi tàu, trứng gà rán mỏng, lườn gà xé, giò lụa thái sợi rải đều trên nền bún trắng. Bún phải là loại bún sợi nhỏ. Trên rắc tôm bông và rải vài lát lạp xường.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/B%C3%BAn_thang.JPG/120px-B%C3%BAn_thang.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/B%C3%BAn_thang.JPG/120px-B%C3%BAn_thang.JPG""]","Bún ăn với nước dùng và cần đến 20 nguyên liệu: rau răm, mùi tàu, trứng gà rán mỏng, lườn gà xé, giò lụa thái sợi rải đề","Bún ăn với nước dùng và cần đến 20 nguyên liệu: rau răm, mùi tàu, trứng gà rán mỏng, lườn gà xé, giò lụa thái sợi rải đều trên nền bún trắng. Bún phải là loại bún sợi nhỏ. Trên rắc tôm bông và rải vài lát lạp xường.",,,,,0,Hà Nội,Bún nước,Dạng sợi ( bún / mì các loại)
Cao lầu,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,66b404d0-b35f-4bed-aaf8-2243aa601501,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cao_l%E1%BA%A7u.jpg/120px-Cao_l%E1%BA%A7u.jpg,Đặc sản của Hội An với sợi mì được chế biến rất công phu ăn cùng giá đỗ và thịt xá xíu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cao_l%E1%BA%A7u.jpg/120px-Cao_l%E1%BA%A7u.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cao_l%E1%BA%A7u.jpg/120px-Cao_l%E1%BA%A7u.jpg""]",Đặc sản của Hội An với sợi mì được chế biến rất công phu ăn cùng giá đỗ và thịt xá xíu,Đặc sản của Hội An với sợi mì được chế biến rất công phu ăn cùng giá đỗ và thịt xá xíu,,,,,0,Quảng Nam,Mì khô,Dạng sợi ( bún / mì các loại)
Hủ tiếu,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,51eb38d6-9728-4d90-b7fe-c2f8236144a2,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Hu-Tieu-Kho-2008.jpg/120px-Hu-Tieu-Kho-2008.jpg,"Bánh hủ tiếu chan nước dùng với thịt băm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các nguyên liệu phụ vào như giá đỗ, hẹ, thịt băm cùng lòng lợn vào",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Hu-Tieu-Kho-2008.jpg/120px-Hu-Tieu-Kho-2008.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Hu-Tieu-Kho-2008.jpg/120px-Hu-Tieu-Kho-2008.jpg""]","Bánh hủ tiếu chan nước dùng với thịt băm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các","Bánh hủ tiếu chan nước dùng với thịt băm nhỏ, lòng heo nấu cùng. Sau đó trụng sơ bánh hủ tiếu với nước dùng, rồi cho các nguyên liệu phụ vào như giá đỗ, hẹ, thịt băm cùng lòng lợn vào",,,,,0,Miền Nam,"Mì khô, mì nước",Dạng sợi ( bún / mì các loại)
Mì Quảng,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,66b404d0-b35f-4bed-aaf8-2243aa601501,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/M%C3%AC_Qu%E1%BA%A3ng.jpg/120px-M%C3%AC_Qu%E1%BA%A3ng.jpg,"Được làm từ sợi mì bằng bột gạo xay mịn và tráng thành từng lớp bánh mỏng, sau đó thái theo chiều ngang để có những sợi mì mỏng khoảng 2mm. Sợi mì làm bằng bột mỳ được trộn thêm một số phụ gia cho đạt độ dòn, dai. Dưới lớp mì là các loại rau sống, trên mì là thịt heo nạc, tôm, thịt gà cùng với nước dùng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/M%C3%AC_Qu%E1%BA%A3ng.jpg/120px-M%C3%AC_Qu%E1%BA%A3ng.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/M%C3%AC_Qu%E1%BA%A3ng.jpg/120px-M%C3%AC_Qu%E1%BA%A3ng.jpg""]","Được làm từ sợi mì bằng bột gạo xay mịn và tráng thành từng lớp bánh mỏng, sau đó thái theo chiều ngang để có những sợi ","Được làm từ sợi mì bằng bột gạo xay mịn và tráng thành từng lớp bánh mỏng, sau đó thái theo chiều ngang để có những sợi mì mỏng khoảng 2mm. Sợi mì làm bằng bột mỳ được trộn thêm một số phụ gia cho đạt độ dòn, dai. Dưới lớp mì là các loại rau sống, trên mì là thịt heo nạc, tôm, thịt gà cùng với nước dùng",,,,,0,Quảng Nam,Bánh tráng,Dạng sợi ( bún / mì các loại)
Mì xào,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/InstantNoodles.JPG/120px-InstantNoodles.JPG,"Mì xào chín giòn với trứng, thịt, rau, hải sản...",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/InstantNoodles.JPG/120px-InstantNoodles.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/InstantNoodles.JPG/120px-InstantNoodles.JPG""]","Mì xào chín giòn với trứng, thịt, rau, hải sản...","Mì xào chín giòn với trứng, thịt, rau, hải sản...",,,,,0,Khắp cả nước,Mì,Dạng sợi ( bún / mì các loại)
Mì xào giòn,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Wok_cooking.jpg/120px-Wok_cooking.jpg,"Mì trứng chiên giòn, phủ hải sản, rau và nước sốt",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Wok_cooking.jpg/120px-Wok_cooking.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Wok_cooking.jpg/120px-Wok_cooking.jpg""]","Mì trứng chiên giòn, phủ hải sản, rau và nước sốt","Mì trứng chiên giòn, phủ hải sản, rau và nước sốt",,,,,0,Khắp cả nước,Mì,Dạng sợi ( bún / mì các loại)
Miến lươn,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,35ea6040-38f2-42f8-89a8-de4e34f30f35,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Mien_luon_Hang_Dieu.JPG/120px-Mien_luon_Hang_Dieu.JPG,Được nấu từ miến với thịt lươn có hai dạng: dạng miến lươn khô và miến lươn nước nấu nước dùng là nước xương,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Mien_luon_Hang_Dieu.JPG/120px-Mien_luon_Hang_Dieu.JPG,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Mien_luon_Hang_Dieu.JPG/120px-Mien_luon_Hang_Dieu.JPG""]",Được nấu từ miến với thịt lươn có hai dạng: dạng miến lươn khô và miến lươn nước nấu nước dùng là nước xương,Được nấu từ miến với thịt lươn có hai dạng: dạng miến lươn khô và miến lươn nước nấu nước dùng là nước xương,,,,,0,Nghệ An,Miến,Dạng sợi ( bún / mì các loại)
Miến trộn,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Mi%E1%BA%BFn_cua.jpg/120px-Mi%E1%BA%BFn_cua.jpg,"Miến được xào hoặc chần qua, trộn với tôm hoặc cua, nêm gia vị chua ngọt và cay",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Mi%E1%BA%BFn_cua.jpg/120px-Mi%E1%BA%BFn_cua.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Mi%E1%BA%BFn_cua.jpg/120px-Mi%E1%BA%BFn_cua.jpg""]","Miến được xào hoặc chần qua, trộn với tôm hoặc cua, nêm gia vị chua ngọt và cay","Miến được xào hoặc chần qua, trộn với tôm hoặc cua, nêm gia vị chua ngọt và cay",,,,,0,Khắp cả nước,Miến,Dạng sợi ( bún / mì các loại)
Phở,f16c8f84-d19a-4a37-bdff-d7c07c283b6b,97a6dbe2-3e11-4e93-b238-5648a1fc93aa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Pho-Beef-Noodle-Soup-2008.jpg/120px-Pho-Beef-Noodle-Soup-2008.jpg,"Là một trong những món ăn đặc trưng nhất cho ẩm thực Việt Nam. Thành phần chính của phở là bánh phở và nước dùng (hay nước lèo theo cách gọi miền Nam) cùng với thịt bò hoặc gà cắt lát mỏng. Ngoài ra còn kèm theo các gia vị như: tương, tiêu, chanh, nước mắm, ớt,... [ 5 ]",https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Pho-Beef-Noodle-Soup-2008.jpg/120px-Pho-Beef-Noodle-Soup-2008.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Pho-Beef-Noodle-Soup-2008.jpg/120px-Pho-Beef-Noodle-Soup-2008.jpg""]",Là một trong những món ăn đặc trưng nhất cho ẩm thực Việt Nam. Thành phần chính của phở là bánh phở và nước dùng (hay nư,"Là một trong những món ăn đặc trưng nhất cho ẩm thực Việt Nam. Thành phần chính của phở là bánh phở và nước dùng (hay nước lèo theo cách gọi miền Nam) cùng với thịt bò hoặc gà cắt lát mỏng. Ngoài ra còn kèm theo các gia vị như: tương, tiêu, chanh, nước mắm, ớt,... [ 5 ]",,,,,0,"Hà Nội , Nam Định",Phở,Dạng sợi ( bún / mì các loại)
Cơm bụi Cơm đĩa,8207dd68-dc15-4c3b-8585-8eed81806619,096cb2da-4203-4c2b-a0b6-c26377e0b9a0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/C%C6%A1m_th%E1%BA%ADp_c%E1%BA%A9m.jpg/120px-C%C6%A1m_th%E1%BA%ADp_c%E1%BA%A9m.jpg,"Cơm bình dân với nhiều món ăn đa dạng, phong phú. Thông thường thực đơn sẽ bao gồm một dĩa cơm và một phần thức ăn theo lựa chọn, một bát canh.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/C%C6%A1m_th%E1%BA%ADp_c%E1%BA%A9m.jpg/120px-C%C6%A1m_th%E1%BA%ADp_c%E1%BA%A9m.jpg,"[""https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/C%C6%A1m_th%E1%BA%ADp_c%E1%BA%A9m.jpg/120px-C%C6%A1m_th%E1%BA%ADp_c%E1%BA%A9m.jpg""]","Cơm bình dân với nhiều món ăn đa dạng, phong phú. Thông thường thực đơn sẽ bao gồm một dĩa cơm và một phần thức ăn theo ","Cơm bình dân với nhiều món ăn đa dạng, phong phú. Thông thường thực đơn sẽ bao gồm một dĩa cơm và một phần thức ăn theo lựa chọn, một bát canh.",,,,,0,Khắp cả nước,Cơm tẻ,Cơm
