actual_db_id,case_id,confidence,db_match_correct,detected_name,end_to_end_correct,error,expected_db_id,expected_type,feature,human_name_judgment,human_pending,human_summary_usefulness,latency_ms,name_correct,name_similarity,predicted_type,schema_valid,status_code,success,type_correct
,search-food-11,,False,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 5.523274075s.",fd474901-6c61-4b72-bed9-d8d3b43349d9,food,ai_search,,False,,378.473,False,0.0,,False,429,False,False
,search-food-12,,False,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 1.516315017s.",b1276455-cacf-451a-91b7-900ee13061b2,food,ai_search,,False,,377.28,False,0.0,,False,429,False,False
,search-object-01,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 57.1964183s.",,object,ai_search,,False,,551.387,False,0.0,,False,429,False,False
,search-object-02,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 52.665704041s.",,object,ai_search,,False,,582.556,False,0.0,,False,429,False,False
,search-object-03,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 48.23026897s.",,object,ai_search,,False,,553.506,False,0.0,,False,429,False,False
,search-object-04,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 43.835607716s.",,object,ai_search,,False,,492.058,False,0.0,,False,429,False,False
,search-object-05,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 39.377106815s.",,object,ai_search,,False,,568.001,False,0.0,,False,429,False,False
,search-object-06,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 34.22502508s.",,object,ai_search,,False,,473.803,False,0.0,,False,429,False,False
,search-object-07,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 29.551899699s.",,object,ai_search,,False,,508.524,False,0.0,,False,429,False,False
,search-object-08,,True,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 25.211579591s.",,object,ai_search,,False,,477.959,False,0.0,,False,429,False,False
